,Y0,z0,Z0,z3,z2,Y4,Y2,Y23,y0,V0,Z1,v0,x0,Z2,Y3,z1,Y41,Z3,Y1,y2,Y24,z21,y3,W1,w1,Y11,Y2211,X2111,v2,W0,x4,Y231,w2,Y113,w0,Y221,Z5,Y212,z11,X21,Y31,Y211,z12,Z51,Z12,z113,Y22,v3,x3,X0,V4,v1,Z11,Y21,z13,V1,y1,Z4,Z21,Y112,W2,x2,x1,Y223,W21,Y213,Y222,W11,x12,W22,w11,x21,Z511,Y1121,V12,v112,Y2111,Z22,Y13,Z111,V21,V11,Y2221,V2,Y43,Y1122,Y9,x13,Z52,z111,Y2121,x31,V3,W112,X22,W221,z112,v11,Y2131,V22,X1,Y131,Y311,Y111,Y122,X111,X112,0
Jazz,0.200,0.193,0.132,0.052,0.047,0.042,0.039,0.034,0.033,0.028,0.026,0.021,0.016,0.015,0.012,0.011,0.011,0.009,0.008,0.007,0.006,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choro,0.428,0.010,0.001,,,,,0.001,0.008,0.243,0.007,0.243,0.034,,,0.020,,,,,,,,,,,,,,0.001,,,,,0.002,,,,,,,,,,,,,,,,0.002,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samba,0.452,0.037,0.006,0.000,,0.000,0.003,0.001,0.011,0.261,0.009,0.190,0.024,,,0.001,0.001,,,,,,,,,,,,0.000,,,,,,0.001,,,,,,,,,,,,,,,0.000,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Jobim,0.089,0.177,0.099,0.009,0.034,0.037,0.050,0.063,0.016,0.015,0.031,0.032,0.030,0.031,0.010,0.054,0.028,0.003,0.007,0.002,0.004,0.003,0.002,0.003,0.002,0.031,0.007,,0.001,0.005,0.003,,0.001,0.004,0.011,0.003,0.005,0.001,0.001,0.001,0.000,0.002,0.001,0.000,0.001,,0.011,,0.006,0.007,0.002,0.005,0.015,0.007,0.005,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Lins,0.059,0.069,0.085,0.020,0.106,0.032,0.050,0.016,0.017,0.033,0.021,0.001,0.003,0.076,0.004,0.015,0.017,0.004,0.036,0.000,0.002,0.045,,,0.005,0.066,0.010,,,0.000,0.000,,,0.006,0.002,0.007,0.005,,0.008,0.002,,0.003,0.002,0.000,,,0.034,,0.000,,,0.000,0.013,0.004,,0.029,0.010,0.003,0.003,0.048,,,,0.005,,,0.000,,,0.002,,,,,,,,0.000,0.010,0.002,0.002,0.002,0.001,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
Chico Buarque,0.205,0.130,0.061,0.003,0.026,0.023,0.069,0.033,0.043,0.032,0.064,0.020,0.030,0.018,0.006,0.087,0.035,0.001,0.010,0.001,0.001,0.001,,,0.001,0.026,,,0.001,0.012,,,,0.005,0.005,0.004,0.001,0.001,,,,,,0.001,,,0.001,0.001,0.003,0.001,0.001,0.004,0.021,0.003,0.004,0.003,0.002,,0.001,,0.001,,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
Edu Lobo,0.049,0.116,0.071,0.010,0.070,0.041,0.039,0.062,0.039,0.033,0.013,0.014,0.017,0.031,0.017,0.031,0.030,0.006,0.005,0.002,0.019,0.009,0.001,,0.012,0.061,0.007,,0.004,0.002,0.001,,,0.005,0.015,0.005,0.001,0.007,0.011,0.001,0.003,0.002,0.001,0.021,,,0.009,,0.003,0.006,,0.008,0.015,0.010,0.002,0.003,0.007,0.005,0.003,0.005,,,0.001,,,0.006,0.001,,,0.003,,0.001,0.001,,,,0.001,0.006,0.001,,0.003,,0.006,,,,,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,,,,,,,,,
Caetano Veloso,0.202,0.150,0.066,0.009,0.025,0.011,0.066,0.024,0.026,0.233,0.003,0.060,0.023,0.008,0.006,0.017,0.014,,0.005,0.001,0.002,,,,,0.012,,,,0.011,,,0.001,,0.002,,,,,0.001,,,,,,,,,,0.001,,,0.019,0.001,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djavan,0.064,0.166,0.106,0.012,0.057,0.005,0.117,0.025,0.038,0.045,0.004,0.010,0.026,0.033,0.017,0.034,0.041,0.002,0.005,,0.032,,,,0.001,0.057,0.003,,,0.005,0.001,,0.001,0.002,0.002,0.002,0.001,0.001,0.001,,,,0.001,,,,0.008,,0.008,0.005,0.001,0.003,0.023,0.010,,0.006,0.002,0.001,,,,,,,,,,,,,0.003,,,,,,,0.001,,,,0.001,,,,,,,,,,,0.010,0.001,,,,0.002,,,,,,,,,,
João Bosco,0.138,0.108,0.045,0.009,0.053,0.046,0.057,0.031,0.028,0.054,0.023,0.026,0.018,0.015,0.003,0.047,0.031,0.010,0.012,0.006,0.011,0.015,0.001,,0.006,0.018,0.006,,0.002,0.002,,,0.002,0.007,0.031,0.010,0.002,0.001,0.004,,,0.001,,,,,0.012,,0.005,0.001,0.001,0.021,0.025,0.005,0.008,0.009,0.001,0.005,,0.004,,,0.001,,,,,0.001,,,,,,,,,,,0.002,0.004,,0.001,0.001,,,,,,,0.002,,,0.001,,,,0.008,,0.001,0.001,0.001,,,,,,,
Milton Nascimento,0.063,0.150,0.069,0.060,0.057,0.007,0.009,0.006,0.012,0.254,0.022,0.033,0.005,0.027,0.011,0.019,0.007,0.002,0.009,0.001,0.004,0.001,,,0.001,0.054,0.001,,0.001,0.001,,,0.001,0.001,0.014,0.009,0.001,0.001,0.006,,0.001,,,,,,,,,,0.003,0.006,0.008,0.003,,0.014,,0.001,0.001,0.004,0.002,,,,,,,,,,,,,,,,,,,,,,,0.024,,,,,0.001,,,,0.009,,,,,,,,0.001,0.002,0.001,0.001,,,,
Gilberto Gil,0.233,0.159,0.064,0.008,0.022,0.020,0.070,0.020,0.009,0.191,0.025,0.035,0.013,0.005,0.012,0.009,0.008,0.001,0.012,,0.009,,,,0.002,0.035,,,,0.002,,,,,0.004,0.007,0.001,0.001,,,,,,,,,,,,,0.001,0.001,0.011,0.004,,,,0.003,,,,,,,,,,,,,,,,,,,,,,0.002,,,,0.002,,,,,,,,,,,,,,,,,,,,,0.001,,,
Rita Lee,0.268,0.163,0.047,0.004,0.008,0.008,0.017,0.007,0.014,0.281,0.008,0.043,0.011,0.005,0.004,0.011,0.004,,0.028,,0.010,,,,,0.035,,,,0.002,0.002,,,,0.003,,0.001,,,0.001,,,,,,,,,0.001,,0.007,,0.001,0.006,,,,0.001,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,0.001,,
Carlos Lyra,0.057,0.250,0.109,0.003,0.015,0.040,0.088,0.102,0.028,0.030,0.058,0.005,0.040,0.003,0.008,0.041,0.022,,0.011,,0.010,,,,,0.026,,,,0.011,,,,,0.003,0.001,,,,,,,,,,0.001,0.001,,0.007,,0.002,,0.025,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
Dori Caymmmi,0.111,0.093,0.049,0.033,0.069,0.031,0.046,0.020,0.031,0.033,0.018,0.021,0.010,0.079,0.001,0.030,0.036,0.001,0.095,0.001,0.001,,,,,0.008,0.001,,0.002,0.004,,,0.003,0.006,0.003,,0.002,0.002,0.004,0.003,,,,,,,,,0.001,0.008,,,0.011,,,0.001,,0.007,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,0.012,,,,,0.108,,,,,,,,,,,,,,0.001,,,,,,,,,,
Cartola,0.234,0.263,0.103,0.001,0.011,0.033,0.064,0.030,0.041,0.039,0.027,0.009,0.047,0.038,0.001,0.016,0.004,,0.001,,0.004,,,,,0.001,,,,0.010,,,,,0.001,,,,,,,,,,,,,,,,0.002,,0.012,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,0.002,,,,,,,,,,,,,,,,,,,,,
Gonzaguinha,0.126,0.264,0.078,0.021,0.045,0.011,0.070,0.040,0.042,0.048,0.001,0.025,0.005,0.038,0.003,0.012,0.009,0.001,0.017,,0.002,0.011,,,0.002,0.064,0.002,,,,,,,,0.007,,,,0.002,,,,,,,,0.002,,,,,,0.007,,0.010,0.002,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001
